name,price,img_file,url,num_price
CK ONE TANGA BIKINI,HKD 392.00,image/CK ONE TANGA BIKINI.png,https://www.calvinklein.com/hk/en/ck-one-tanga-bikini-KW01435.html?dwvar_KW01435_color=BLACK%20CUT%20OUT%20PRINT,392.0
CK ONE BRALETTE,HKD 392.00,image/CK ONE BRALETTE.png,https://www.calvinklein.com/hk/en/ck-one-bralette-KW01434.html?dwvar_KW01434_color=BLACK%20CUT%20OUT%20PRINT,392.0
ACTIVE ICON WOVEN SHORTS,HKD 413.00,image/ACTIVE ICON WOVEN SHORTS.png,https://www.calvinklein.com/hk/en/active-icon-woven-shorts-4WS1S894.html?dwvar_4WS1S894_color=RASPBERRY%20BLUSH,413.0
OMBRE LOGO SHORT SLEEVE TEE,HKD 343.00,image/OMBRE LOGO SHORT SLEEVE TEE.png,https://www.calvinklein.com/hk/en/ombre-logo-short-sleeve-tee-4WS1K130.html?dwvar_4WS1K130_color=CK%20BLACK,343.0
ACTIVE ICON FULL LENGTH ALL-OVER PRINT LEGGINGS,HKD 483.00,image/ACTIVE ICON FULL LENGTH ALL-OVER PRINT LEGGINGS.png,https://www.calvinklein.com/hk/en/active-icon-full-length-all-over-print-leggings-4WS1L650.html?dwvar_4WS1L650_color=CK%20BLK%20CK%20AOP,483.0
LACE LIGHTWEAR JACKET,HKD 903.00,image/LACE LIGHTWEAR JACKET.png,https://www.calvinklein.com/hk/en/lace-lightwear-jacket-4WT1O553.html?dwvar_4WT1O553_color=BRIGHT%20WHITE,903.0
ACTIVE ICON HOODED SWEAT JACKET,HKD 693.00,image/ACTIVE ICON HOODED SWEAT JACKET.png,https://www.calvinklein.com/hk/en/active-icon-hooded-sweat-jacket-4WS1J474.html?dwvar_4WS1J474_color=CK%20BLACK,693.0
CHINESE NEW YEAR CAPSULE PADDED JACKET WITH HOOD,"HKD 1,603.00",image/CHINESE NEW YEAR CAPSULE PADDED JACKET WITH HOOD.png,https://www.calvinklein.com/hk/en/chinese-new-year-capsule-padded-jacket-with-hood-4WS1O524.html?dwvar_4WS1O524_color=CK%20BLACK,1603.0
OMBRE LOGO SHORT SLEEVE TEE,HKD 343.00,image/OMBRE LOGO SHORT SLEEVE TEE.png,https://www.calvinklein.com/hk/en/ombre-logo-short-sleeve-tee-4WS1K130.html?dwvar_4WS1K130_color=BRIGHT%20WHITE,343.0
CHINESE NEW YEAR CAPSULE PADDED JACKET WITH HOOD,"HKD 1,603.00",image/CHINESE NEW YEAR CAPSULE PADDED JACKET WITH HOOD.png,https://www.calvinklein.com/hk/en/chinese-new-year-capsule-padded-jacket-with-hood-4WS1O524.html?dwvar_4WS1O524_color=CHINESE%20RED,1603.0
REFLECTIVE COLOR BLOCK WINDBREAKER,HKD 763.00,image/REFLECTIVE COLOR BLOCK WINDBREAKER.png,https://www.calvinklein.com/hk/en/reflective-color-block-windbreaker-4WS1O565.html?dwvar_4WS1O565_color=BRIGHT%20WHITE,763.0
LACE PRINT SPORTS BRA,HKD 552.00,image/LACE PRINT SPORTS BRA.png,https://www.calvinklein.com/hk/en/lace-print-sports-bra-4WT1K187.html?dwvar_4WT1K187_color=PINK%20SATIN,552.0
CHINESE NEW YEAR CAPSULE BACK OVERLAY TEE,HKD 483.00,image/CHINESE NEW YEAR CAPSULE BACK OVERLAY TEE.png,https://www.calvinklein.com/hk/en/chinese-new-year-capsule-back-overlay-tee-4WS1K122.html?dwvar_4WS1K122_color=BRIGHT%20WHITE,483.0
LEAF PRINT LIGHTWEIGHT JACKET,HKD 973.00,image/LEAF PRINT LIGHTWEIGHT JACKET.png,https://www.calvinklein.com/hk/en/leaf-print-lightweight-jacket-4WS1O562.html?dwvar_4WS1O562_color=BRT%20WHT%2FORANGE,973.0
LACE FITSENSE MESH HEM LEGGINGS,HKD 553.00,image/LACE FITSENSE MESH HEM LEGGINGS.png,https://www.calvinklein.com/hk/en/lace-fitsense-mesh-hem-leggings-4WT1L784.html?dwvar_4WT1L784_color=CK%20BLACK,553.0
